"BUDGET_YEAR","GROUP_NAME","NO_OF_LIC","UPDATE_DATE"
"2560","ยาสูบ","732863","2569-02-01"
"2560","สุรา","345258","2569-02-01"
"2560","ไพ่","28994","2569-02-01"
"2561","ยาสูบ","613584","2569-02-01"
"2561","สุรา","598840","2569-02-01"
"2561","ไพ่","33124","2569-02-01"
"2562","ยาสูบ","594965","2569-02-01"
"2562","สุรา","596683","2569-02-01"
"2562","ไพ่","32055","2569-02-01"
"2563","ยาสูบ","585123","2569-02-01"
"2563","สุรา","589077","2569-02-01"
"2563","ไพ่","31528","2569-02-01"
"2564","ยาสูบ","497029","2569-02-01"
"2564","สุรา","491832","2569-02-01"
"2564","ไพ่","27577","2569-02-01"
"2565","ยาสูบ","559569","2569-02-01"
"2565","สุรา","576319","2569-02-01"
"2565","ไพ่","31387","2569-02-01"
"2566","ยาสูบ","550058","2569-02-01"
"2566","สุรา","579381","2569-02-01"
"2566","ไพ่","31025","2569-02-01"
"2567","ยาสูบ","540506","2569-02-01"
"2567","สุรา","574459","2569-02-01"
"2567","ไพ่","30976","2569-02-01"
"2568","ยาสูบ","535517","2569-02-01"
"2568","สุรา","576092","2569-02-01"
"2568","ไพ่","30405","2569-02-01"
"2569","ยาสูบ","286493","2569-02-01"
"2569","สุรา","299360","2569-02-01"
"2569","ไพ่","19209","2569-02-01"
